frequency,reflection_loss
1200000000.0,-7.388825463779307
1280000000.0,-13.963259579862111
1360000000.0,-8.838517784965662
1440000000.0,-6.2423000993624225
1520000000.0,-6.689446398268641
1600000000.0,-11.323774911168243
1680000000.0,-23.792412409178443
1760000000.0,-10.199124986323566
1840000000.0,-8.820790409097404
1920000000.0,-12.222791559304735
2000000000.0,-16.503781210312873
2080000000.0,-11.073390384079183
2160000000.0,-10.907936454882801
2240000000.0,-14.108051516973461
2320000000.0,-12.676295106817431
2400000000.0,-11.51992137410721
2480000000.0,-13.129481809171924
2560000000.0,-12.700063801556123
2640000000.0,-11.95410516054688
2720000000.0,-12.759533054872454
2800000000.0,-12.374321974411684
2880000000.0,-12.201370712791483
2960000000.0,-12.58662399847297
3040000000.0,-12.087503614972066
3120000000.0,-12.202153856146955
3200000000.0,-12.233865258272665
3280000000.0,-11.984432563118894
3360000000.0,-12.106770490931018
3440000000.0,-11.98613851750212
3520000000.0,-12.039037657334015
3600000000.0,-11.912558467500524
3680000000.0,-11.898143888398776
3760000000.0,-11.946008586006688
3840000000.0,-11.84644836688749
3920000000.0,-11.802856613056552
4000000000.0,-11.847775024556793
4080000000.0,-11.828535585706828
4160000000.0,-11.741617281949368
4240000000.0,-11.73407561308717
4320000000.0,-11.757121234213788
4400000000.0,-11.651925746756524
4480000000.0,-11.576324200010358
4560000000.0,-11.617484308351106
4640000000.0,-11.614012730002784
4720000000.0,-11.479360770667821
4800000000.0,-11.46070908148493
4880000000.0,-11.496747336685694
4960000000.0,-11.405813933762584
5040000000.0,-11.306888097382341
5120000000.0,-11.313984140010607
5200000000.0,-11.323015629923576
5280000000.0,-11.173386415076266
5360000000.0,-11.09727640585512
5440000000.0,-11.1378597949566
5520000000.0,-11.037019020471956
5600000000.0,-10.923987215422592
5680000000.0,-10.936583174308957
5760000000.0,-10.91876146535447
5840000000.0,-10.75889048654182
5920000000.0,-10.724168759536603
6000000000.0,-10.765144899561847
6080000000.0,-10.650373034016567
6160000000.0,-10.520352543218632
6240000000.0,-10.549260427745066
6320000000.0,-10.55628510814888
6400000000.0,-10.382025716985371
6480000000.0,-10.316259756378168
6560000000.0,-10.34822204450296
6640000000.0,-10.209430578245367
6720000000.0,-10.08910766878812
6800000000.0,-10.108457416995103
6880000000.0,-10.05939013987084
6960000000.0,-9.919993101442014
7040000000.0,-9.873922920652697
7120000000.0,-9.856030494870625
7200000000.0,-9.690270291266108
7280000000.0,-9.569132248592547
7360000000.0,-9.543534656611605
7440000000.0,-9.467494666448818
7520000000.0,-9.26614901643698
7600000000.0,-9.171433918543965
7680000000.0,-9.049983173940749
7760000000.0,-8.88261999679639
7840000000.0,-8.723002574137194
7920000000.0,-8.489216479308732
8000000000.0,-8.206821712949115
8080000000.0,-8.078156102479392
8160000000.0,-8.039365312858973
8240000000.0,-9.652241375933869
8320000000.0,-13.237158743002272
8400000000.0,-17.43582981878845
8480000000.0,8.779082143245931
8560000000.0,7.332320729764955
8640000000.0,6.147925884529732
8720000000.0,6.518715548594863
8800000000.0,7.440558149341626
8880000000.0,7.3407889920138825
8960000000.0,7.130233150862745
9040000000.0,6.98174944988855
9120000000.0,6.742647446275948
9200000000.0,6.490276367564388
9280000000.0,6.319996285953464
9360000000.0,6.076508883293174
9440000000.0,5.733914418978758
9520000000.0,5.529060040651721
9600000000.0,5.316582053007322
9680000000.0,4.920918138664799
9760000000.0,4.55508604724961
9840000000.0,4.384119377216075
9920000000.0,4.053439173605426
10000000000.0,3.5446559244031057
10080000000.0,3.23023608371032
10160000000.0,3.0342122707595287
10240000000.0,2.616859336240756
10320000000.0,2.1527172580155405
10400000000.0,1.9536754442595006
10480000000.0,1.7261822034229126
10560000000.0,1.3349018736965297
10640000000.0,1.070382981872989
10720000000.0,0.9585265813371915
10800000000.0,0.6907094242138156
10880000000.0,0.3855848328294591
10960000000.0,0.22933755655700738
11040000000.0,0.06686322513506693
11120000000.0,0.23361811485246564
11200000000.0,0.5017070383065085
11280000000.0,0.642738430846151
11360000000.0,0.8618395622734969
11440000000.0,1.1858034614413824
11520000000.0,1.4225368621758134
11600000000.0,1.6202821894123232
11680000000.0,1.8979162308234188
11760000000.0,2.224542940876981
11840000000.0,2.5234993991403156
11920000000.0,2.7659756184047666
12000000000.0,3.1174876258160955
12080000000.0,3.5259833913523657
12160000000.0,3.883987216080506
12240000000.0,4.2505820694844525
12320000000.0,4.695283845008344
12400000000.0,5.196065746134094
12480000000.0,5.65909338119284
12560000000.0,6.135388723482577
12640000000.0,6.714131867732354
12720000000.0,7.299889297791212
12800000000.0,7.783972519448956
12880000000.0,8.408870140602307
12960000000.0,9.111237815418956
13040000000.0,9.668715861013364
13120000000.0,10.224389158390672
13200000000.0,10.940561956677842
13280000000.0,11.72098851803446
13360000000.0,12.273265339452857
13440000000.0,12.852351837733224
13520000000.0,13.769036584867093
13600000000.0,14.554264432784931
13680000000.0,14.9381266402631
13760000000.0,15.724974942514152
13840000000.0,16.855877119879835
13920000000.0,17.410606864307912
14000000000.0,17.755198834720154
14080000000.0,18.982203614155633
14160000000.0,20.26192511621709
14240000000.0,20.460701342601798
14320000000.0,21.310261616015715
14400000000.0,23.527886746231943
14480000000.0,24.206808208964258
14560000000.0,24.305575950978362
14640000000.0,27.040016824928863
14720000000.0,30.537325683880823
14800000000.0,29.43847281374869
14880000000.0,31.626714774778474
14960000000.0,45.520270319478904
15040000000.0,38.515245949182315
15120000000.0,42.8320247564009
15200000000.0,36.944121416298366
15280000000.0,30.760561703257032
15360000000.0,33.19316147562158
15440000000.0,31.999552310131648
15520000000.0,26.101352914606466
15600000000.0,25.950506653654454
15680000000.0,27.80365569753528
15760000000.0,24.15447735901587
15840000000.0,22.340306325836433
15920000000.0,24.020996758582903
16000000000.0,23.151473349241165
16080000000.0,20.423084236702937
16160000000.0,20.972263911816395
16240000000.0,21.98723108136161
16320000000.0,19.639503834366803
16400000000.0,18.886483867303003
16480000000.0,20.1227089413582
16560000000.0,19.242053997647574
16640000000.0,17.628754845901057
16720000000.0,18.166167385399095
16800000000.0,18.58926937560479
16880000000.0,17.056618150648646
16960000000.0,16.589604015688558
17040000000.0,17.33448469963866
17120000000.0,16.68652992057225
17200000000.0,15.64374995256978
17280000000.0,15.835183692406243
17360000000.0,16.02658104021703
17440000000.0,15.148193531797903
17520000000.0,14.687709649856469
17600000000.0,15.026328807039642
17680000000.0,14.82266078036199
17760000000.0,14.036663253708785
17840000000.0,14.025046978414117
17920000000.0,14.33430541767088
18000000000.0,13.695104158042998
18080000000.0,13.230358529445818
18160000000.0,13.630685640527663
18240000000.0,13.463091844580221
18320000000.0,12.74152061468677
18400000000.0,12.905526288602374
18480000000.0,12.835016490643811
18560000000.0,12.31186535989253
18640000000.0,11.955159966634795
18720000000.0,12.098632631455374
18800000000.0,11.867037383054617
